remedy,symptoms,disease,potency,source
Silicea,burning; dull skin; dry skin; hormonal acne,chronic,200C,synthetic materia medica
Belladonna,vesicular eruptions; redness; hormonal acne,acute inflammation,6X,synthetic materia medica
Belladonna,allergic rash; itching; vesicular eruptions; oily skin,hormonal,200C,synthetic materia medica
Nux Vomica,facial eruptions; sensitive skin; vesicular eruptions; cracked skin; rash; eczema,skin,200C,synthetic materia medica
Belladonna,dull skin; rash; acne; oily skin,allergy,Q,synthetic materia medica
Belladonna,rash; cracked skin; redness; chronic eruptions,skin,30C,synthetic materia medica
Apis Mellifica,swelling; acne; pimples; sensitive skin; facial eruptions,hormonal,30C,synthetic materia medica
Hepar Sulph,dry skin; oily skin; allergic rash; redness; swelling; pigmentation,skin,Q,synthetic materia medica
Thuja Occidentalis,chronic eruptions; cracked skin; sensitive skin; dry skin; pus formation,chronic,30C,synthetic materia medica
Thuja Occidentalis,rash; dry skin; itching; acne,hormonal,30C,synthetic materia medica
Arsenicum Album,hormonal acne; redness; allergic rash; dry skin; eczema; acne,skin,30C,synthetic materia medica
Berberis Aquifolium,pigmentation; pimples; acne; sensitive skin; rash; chronic eruptions,acute inflammation,200C,synthetic materia medica
Kali Bromatum,facial eruptions; chronic eruptions; eczema; itching; rash,general,6X,synthetic materia medica
Silicea,pus formation; cracked skin; pimples; acne; itching,general,6X,synthetic materia medica
Natrum Muriaticum,sensitive skin; hormonal acne; pigmentation; vesicular eruptions; dry skin,acute inflammation,200C,synthetic materia medica
Antimonium Crudum,burning; eczema; allergic rash; dry skin; chronic eruptions; swelling,general,200C,synthetic materia medica
Calcarea Sulph,allergic rash; burning; eczema; facial eruptions,hormonal,Q,synthetic materia medica
Kali Bromatum,acne; facial eruptions; sensitive skin; pimples; pigmentation,skin,200C,synthetic materia medica
Bryonia,facial eruptions; dry skin; cracked skin; itching; hormonal acne,allergy,200C,synthetic materia medica
Antimonium Crudum,sensitive skin; facial eruptions; dull skin; pus formation,chronic,200C,synthetic materia medica
Natrum Muriaticum,vesicular eruptions; oily skin; pus formation,acute inflammation,200C,synthetic materia medica
Belladonna,dry skin; allergic rash; vesicular eruptions,hormonal,Q,synthetic materia medica
Belladonna,cracked skin; eczema; pus formation; sensitive skin; redness; swelling,skin,Q,synthetic materia medica
Pulsatilla,rash; hormonal acne; chronic eruptions; sensitive skin; swelling,allergy,6X,synthetic materia medica
Hepar Sulph,eczema; sensitive skin; burning,hormonal,Q,synthetic materia medica
Natrum Muriaticum,pimples; redness; chronic eruptions,hormonal,200C,synthetic materia medica
Thuja Occidentalis,dull skin; burning; dry skin,hormonal,6X,synthetic materia medica
Apis Mellifica,pus formation; cracked skin; allergic rash; hormonal acne; facial eruptions; chronic eruptions,general,6X,synthetic materia medica
Arsenicum Album,acne; eczema; redness; cracked skin; pimples,allergy,30C,synthetic materia medica
Berberis Aquifolium,pigmentation; chronic eruptions; burning; cracked skin,general,30C,synthetic materia medica
Pulsatilla,facial eruptions; chronic eruptions; vesicular eruptions; rash; itching,allergy,Q,synthetic materia medica
Lycopodium,hormonal acne; oily skin; allergic rash; itching,general,6X,synthetic materia medica
Nux Vomica,dull skin; swelling; redness,general,30C,synthetic materia medica
Calcarea Sulph,burning; sensitive skin; cracked skin,acute inflammation,6X,synthetic materia medica
Belladonna,hormonal acne; itching; redness; oily skin; cracked skin; dry skin,acute inflammation,30C,synthetic materia medica
Sulphur,allergic rash; rash; chronic eruptions; dull skin; cracked skin; redness,general,30C,synthetic materia medica
Apis Mellifica,redness; pus formation; pigmentation,acute inflammation,6X,synthetic materia medica
Graphites,sensitive skin; itching; allergic rash; swelling; dry skin,allergy,200C,synthetic materia medica
Graphites,pus formation; hormonal acne; eczema,hormonal,6X,synthetic materia medica
Pulsatilla,rash; pimples; allergic rash; oily skin; acne,skin,200C,synthetic materia medica
Hepar Sulph,sensitive skin; allergic rash; chronic eruptions; pimples; acne; swelling,allergy,30C,synthetic materia medica
Arsenicum Album,sensitive skin; pus formation; cracked skin,allergy,6X,synthetic materia medica
Pulsatilla,facial eruptions; chronic eruptions; sensitive skin; pigmentation; hormonal acne,skin,6X,synthetic materia medica
Hepar Sulph,sensitive skin; dry skin; eczema,hormonal,200C,synthetic materia medica
Berberis Aquifolium,dull skin; pigmentation; sensitive skin; vesicular eruptions; cracked skin; itching,skin,Q,synthetic materia medica
Berberis Aquifolium,eczema; pimples; vesicular eruptions,chronic,6X,synthetic materia medica
Silicea,burning; hormonal acne; cracked skin; allergic rash; sensitive skin; pigmentation,hormonal,30C,synthetic materia medica
Sepia,allergic rash; dry skin; pigmentation; burning; pimples,skin,6X,synthetic materia medica
Sepia,rash; burning; cracked skin,hormonal,Q,synthetic materia medica
Arsenicum Album,vesicular eruptions; itching; dry skin; allergic rash,hormonal,30C,synthetic materia medica
Mercurius Solubilis,dry skin; redness; burning,skin,30C,synthetic materia medica
Kali Bromatum,chronic eruptions; cracked skin; itching; oily skin,chronic,30C,synthetic materia medica
Berberis Aquifolium,pus formation; swelling; rash; allergic rash; vesicular eruptions,acute inflammation,6X,synthetic materia medica
Silicea,rash; swelling; burning,allergy,6X,synthetic materia medica
Silicea,burning; hormonal acne; allergic rash; sensitive skin; eczema,acute inflammation,Q,synthetic materia medica
Belladonna,cracked skin; facial eruptions; eczema; allergic rash; sensitive skin; acne,general,30C,synthetic materia medica
Silicea,redness; allergic rash; pus formation,acute inflammation,Q,synthetic materia medica
Hepar Sulph,vesicular eruptions; eczema; chronic eruptions; dry skin; cracked skin; redness,allergy,200C,synthetic materia medica
Belladonna,sensitive skin; acne; chronic eruptions; pus formation; facial eruptions,hormonal,30C,synthetic materia medica
Bryonia,cracked skin; pus formation; dull skin; chronic eruptions; facial eruptions,acute inflammation,200C,synthetic materia medica
Sulphur,itching; oily skin; burning,hormonal,200C,synthetic materia medica
Antimonium Crudum,oily skin; burning; eczema,hormonal,200C,synthetic materia medica
Calcarea Sulph,eczema; itching; oily skin; pus formation; rash,skin,200C,synthetic materia medica
Silicea,pimples; eczema; redness; pigmentation,chronic,30C,synthetic materia medica
Silicea,cracked skin; oily skin; redness,chronic,Q,synthetic materia medica
Pulsatilla,chronic eruptions; eczema; dull skin; pus formation; swelling; sensitive skin,allergy,6X,synthetic materia medica
Belladonna,dull skin; pus formation; acne; itching; sensitive skin; burning,chronic,200C,synthetic materia medica
Calcarea Sulph,swelling; itching; oily skin; pimples; burning,allergy,30C,synthetic materia medica
Pulsatilla,burning; itching; hormonal acne; cracked skin; allergic rash; dull skin,allergy,200C,synthetic materia medica
Kali Bromatum,pigmentation; hormonal acne; vesicular eruptions; dull skin; itching; eczema,general,30C,synthetic materia medica
Graphites,sensitive skin; swelling; burning; chronic eruptions; rash,skin,6X,synthetic materia medica
Sepia,eczema; pus formation; vesicular eruptions,hormonal,30C,synthetic materia medica
Apis Mellifica,facial eruptions; rash; eczema; cracked skin,skin,200C,synthetic materia medica
Nux Vomica,hormonal acne; facial eruptions; dull skin,skin,30C,synthetic materia medica
Thuja Occidentalis,vesicular eruptions; eczema; burning,acute inflammation,6X,synthetic materia medica
Rhus Toxicodendron,pus formation; vesicular eruptions; itching; pimples; allergic rash,chronic,30C,synthetic materia medica
Hepar Sulph,pimples; allergic rash; rash; vesicular eruptions; dull skin; dry skin,hormonal,Q,synthetic materia medica
Pulsatilla,dry skin; cracked skin; itching; oily skin; eczema; rash,hormonal,Q,synthetic materia medica
Lycopodium,itching; acne; swelling; redness; cracked skin; sensitive skin,allergy,6X,synthetic materia medica
Silicea,sensitive skin; acne; pigmentation; hormonal acne,acute inflammation,Q,synthetic materia medica
Belladonna,acne; pus formation; oily skin; dull skin; burning,chronic,200C,synthetic materia medica
Rhus Toxicodendron,sensitive skin; redness; chronic eruptions; vesicular eruptions; pigmentation; pimples,chronic,Q,synthetic materia medica
Antimonium Crudum,itching; chronic eruptions; redness; facial eruptions,acute inflammation,6X,synthetic materia medica
Berberis Aquifolium,vesicular eruptions; redness; chronic eruptions,acute inflammation,30C,synthetic materia medica
Lycopodium,swelling; hormonal acne; eczema,chronic,200C,synthetic materia medica
Sepia,hormonal acne; cracked skin; sensitive skin; pimples; rash,allergy,6X,synthetic materia medica
Bryonia,eczema; pus formation; sensitive skin; dry skin; allergic rash; redness,general,30C,synthetic materia medica
Sulphur,redness; oily skin; vesicular eruptions; swelling; burning,general,Q,synthetic materia medica
Sulphur,pus formation; swelling; dry skin,hormonal,30C,synthetic materia medica
Apis Mellifica,pimples; dull skin; facial eruptions; allergic rash; rash; cracked skin,acute inflammation,Q,synthetic materia medica
Belladonna,dull skin; pimples; cracked skin; chronic eruptions,hormonal,6X,synthetic materia medica
Thuja Occidentalis,chronic eruptions; itching; facial eruptions,acute inflammation,200C,synthetic materia medica
Kali Bromatum,eczema; oily skin; acne; dry skin; cracked skin; hormonal acne,hormonal,6X,synthetic materia medica
Mercurius Solubilis,burning; facial eruptions; cracked skin; eczema; pigmentation,acute inflammation,Q,synthetic materia medica
Sulphur,pigmentation; burning; sensitive skin,allergy,Q,synthetic materia medica
Belladonna,acne; eczema; rash; burning; itching; pimples,skin,30C,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; dry skin; oily skin,skin,200C,synthetic materia medica
Berberis Aquifolium,cracked skin; pimples; sensitive skin,skin,30C,synthetic materia medica
Mercurius Solubilis,acne; facial eruptions; pimples; pus formation; sensitive skin; hormonal acne,chronic,30C,synthetic materia medica
Belladonna,rash; dry skin; acne; eczema; itching,allergy,6X,synthetic materia medica
Arsenicum Album,dry skin; redness; chronic eruptions; acne,general,200C,synthetic materia medica
Mercurius Solubilis,allergic rash; eczema; cracked skin; redness; dull skin,general,200C,synthetic materia medica
Graphites,itching; hormonal acne; pimples,acute inflammation,30C,synthetic materia medica
Graphites,pigmentation; redness; swelling,allergy,6X,synthetic materia medica
Calcarea Sulph,oily skin; acne; sensitive skin; chronic eruptions; eczema; dry skin,skin,6X,synthetic materia medica
Sulphur,facial eruptions; pus formation; dry skin,chronic,6X,synthetic materia medica
Graphites,dry skin; pigmentation; chronic eruptions,chronic,Q,synthetic materia medica
Bryonia,acne; swelling; chronic eruptions; sensitive skin; dry skin; cracked skin,chronic,6X,synthetic materia medica
Apis Mellifica,swelling; oily skin; hormonal acne; facial eruptions; eczema,chronic,6X,synthetic materia medica
Thuja Occidentalis,acne; facial eruptions; pigmentation; rash; redness,general,30C,synthetic materia medica
Apis Mellifica,rash; pus formation; pimples,skin,30C,synthetic materia medica
Bryonia,burning; sensitive skin; dry skin; allergic rash; vesicular eruptions,skin,30C,synthetic materia medica
Kali Bromatum,chronic eruptions; dull skin; pus formation,hormonal,6X,synthetic materia medica
Natrum Muriaticum,dull skin; redness; facial eruptions,acute inflammation,30C,synthetic materia medica
Bryonia,hormonal acne; oily skin; acne,chronic,200C,synthetic materia medica
Natrum Muriaticum,swelling; acne; chronic eruptions; pimples,hormonal,200C,synthetic materia medica
Kali Bromatum,pimples; eczema; oily skin; pus formation; dry skin; hormonal acne,chronic,30C,synthetic materia medica
Pulsatilla,pigmentation; swelling; vesicular eruptions; allergic rash; dry skin,general,200C,synthetic materia medica
Sulphur,vesicular eruptions; acne; oily skin; dry skin; swelling,allergy,200C,synthetic materia medica
Bryonia,itching; hormonal acne; pus formation; pimples; acne,chronic,6X,synthetic materia medica
Apis Mellifica,facial eruptions; itching; acne; pimples; chronic eruptions,chronic,Q,synthetic materia medica
Apis Mellifica,oily skin; itching; facial eruptions; rash,chronic,200C,synthetic materia medica
Apis Mellifica,allergic rash; rash; acne,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,pus formation; rash; eczema; sensitive skin; dry skin; cracked skin,general,200C,synthetic materia medica
Kali Bromatum,itching; pimples; hormonal acne; eczema; pigmentation; swelling,general,6X,synthetic materia medica
Silicea,dry skin; eczema; chronic eruptions; vesicular eruptions; oily skin,acute inflammation,Q,synthetic materia medica
Kali Bromatum,cracked skin; rash; sensitive skin; swelling; hormonal acne; eczema,acute inflammation,200C,synthetic materia medica
Belladonna,hormonal acne; dull skin; eczema; cracked skin; dry skin; oily skin,hormonal,200C,synthetic materia medica
Lycopodium,allergic rash; facial eruptions; hormonal acne; rash; dull skin; vesicular eruptions,chronic,Q,synthetic materia medica
